id,content,score,created_at,updated_at,user_id,lego_set_id
1,,4,2020-05-28 08:06:04.912620,2020-05-28 08:06:04.912620,35,11265
2,,5,2020-05-28 08:06:04.929919,2020-05-28 08:06:04.929919,47,11265
3,,5,2020-05-28 08:06:04.946902,2020-05-28 08:06:04.946902,65,11265
4,,4,2020-05-28 08:06:04.954854,2020-05-28 08:06:04.954854,67,11265
5,,4,2020-05-28 08:06:04.986804,2020-05-28 08:06:04.986804,114,11265
6,,5,2020-05-28 08:06:05.007753,2020-05-28 08:06:05.007753,142,11265
7,,5,2020-05-28 08:06:05.014724,2020-05-28 08:06:05.014724,143,11265
8,,5,2020-05-28 08:06:05.027697,2020-05-28 08:06:05.027697,155,11265
9,,4,2020-05-28 08:06:05.045661,2020-05-28 08:06:05.045661,177,11265
10,,5,2020-05-28 08:06:05.062686,2020-05-28 08:06:05.062686,198,11265
11,,4,2020-05-28 08:06:05.068669,2020-05-28 08:06:05.068669,199,11265
12,,5,2020-05-28 08:06:05.078641,2020-05-28 08:06:05.078641,206,11265
13,,5,2020-05-28 08:06:05.095597,2020-05-28 08:06:05.095597,227,11265
14,,5,2020-05-28 08:06:05.106602,2020-05-28 08:06:05.106602,234,11265
15,,5,2020-05-28 08:06:05.114591,2020-05-28 08:06:05.114591,238,11265
16,,5,2020-05-28 08:06:05.134531,2020-05-28 08:06:05.134531,265,11265
17,,4,2020-05-28 08:06:05.150858,2020-05-28 08:06:05.150858,282,11265
18,,4,2020-05-28 08:06:05.158881,2020-05-28 08:06:05.158881,287,11265
19,,4,2020-05-28 08:06:05.171846,2020-05-28 08:06:05.171846,301,11265
20,,5,2020-05-28 08:06:05.180822,2020-05-28 08:06:05.180822,308,11265
21,,5,2020-05-28 08:06:05.187807,2020-05-28 08:06:05.187807,311,11265
22,,4,2020-05-28 08:06:05.193747,2020-05-28 08:06:05.193747,312,11265
23,,4,2020-05-28 08:06:05.200770,2020-05-28 08:06:05.200770,316,11265
24,,4,2020-05-28 08:06:05.218720,2020-05-28 08:06:05.218720,340,11265
25,,5,2020-05-28 08:06:05.226698,2020-05-28 08:06:05.226698,344,11265
26,,5,2020-05-28 08:06:05.233640,2020-05-28 08:06:05.233640,348,11265
27,,4,2020-05-28 08:06:05.244643,2020-05-28 08:06:05.244643,358,11265
28,,5,2020-05-28 08:06:05.256578,2020-05-28 08:06:05.256578,370,11265
29,,5,2020-05-28 08:06:05.269506,2020-05-28 08:06:05.269506,386,11265
30,,5,2020-05-28 08:06:05.288454,2020-05-28 08:06:05.288454,411,11265
31,,4,2020-05-28 08:06:05.299462,2020-05-28 08:06:05.299462,421,11265
32,,4,2020-05-28 08:06:05.306406,2020-05-28 08:06:05.306406,425,11265
33,,5,2020-05-28 08:06:05.321405,2020-05-28 08:06:05.321405,443,11265
34,,5,2020-05-28 08:06:05.333381,2020-05-28 08:06:05.333381,454,11265
35,,4,2020-05-28 08:06:05.346380,2020-05-28 08:06:05.346380,469,11265
36,,5,2020-05-28 08:06:05.362297,2020-05-28 08:06:05.362297,488,11265
37,,5,2020-05-28 08:06:05.372265,2020-05-28 08:06:05.372265,498,11265
38,,5,2020-05-28 08:06:05.384236,2020-05-28 08:06:05.384236,511,11265
39,,4,2020-05-28 08:06:05.391212,2020-05-28 08:06:05.391212,514,11265
40,,4,2020-05-28 08:06:05.404226,2020-05-28 08:06:05.404226,529,11265
41,,5,2020-05-28 08:06:05.416152,2020-05-28 08:06:05.416152,542,11265
42,,5,2020-05-28 08:06:05.422129,2020-05-28 08:06:05.422129,543,11265
43,,5,2020-05-28 08:06:05.435100,2020-05-28 08:06:05.435100,559,11265
44,,5,2020-05-28 08:06:05.446033,2020-05-28 08:06:05.446033,569,11265
45,,5,2020-05-28 08:06:05.461991,2020-05-28 08:06:05.461991,589,11265
46,,4,2020-05-28 08:06:05.483011,2020-05-28 08:06:05.483011,619,11265
47,,5,2020-05-28 08:06:05.490915,2020-05-28 08:06:05.490915,625,11265
48,,5,2020-05-28 08:06:05.514986,2020-05-28 08:06:05.514986,659,11265
49,,4,2020-05-28 08:06:05.527936,2020-05-28 08:06:05.527936,673,11265
50,,5,2020-05-28 08:06:05.548855,2020-05-28 08:06:05.548855,703,11265
51,,5,2020-05-28 08:06:05.555876,2020-05-28 08:06:05.555876,707,11265
52,,4,2020-05-28 08:06:05.564815,2020-05-28 08:06:05.564815,714,11265
53,,4,2020-05-28 08:06:05.581874,2020-05-28 08:06:05.581874,736,11265
54,,4,2020-05-28 08:06:05.590834,2020-05-28 08:06:05.590834,742,11265
55,,5,2020-05-28 08:06:05.596789,2020-05-28 08:06:05.596789,744,11265
56,,4,2020-05-28 08:06:05.602737,2020-05-28 08:06:05.602737,745,11265
57,,5,2020-05-28 08:06:05.610717,2020-05-28 08:06:05.610717,751,11265
58,,5,2020-05-28 08:06:05.618927,2020-05-28 08:06:05.618927,757,11265
59,,4,2020-05-28 08:06:05.630853,2020-05-28 08:06:05.630853,765,11265
60,,4,2020-05-28 08:06:05.651789,2020-05-28 08:06:05.651789,778,11265
61,,4,2020-05-28 08:06:05.659738,2020-05-28 08:06:05.659738,783,11265
62,,5,2020-05-28 08:06:05.682718,2020-05-28 08:06:05.682718,817,11265
63,,4,2020-05-28 08:06:05.691886,2020-05-28 08:06:05.691886,825,11265
